,id,state,units_n,con_type,status,loi_date,closedate,concomdate,stabdate,totalcost,hardcost,sources_n,df,yr_pis
199,202.0,CA,31.0,Rehab,Stabilized,12/16/13,4/10/14,5/1/15,10/1/15,"$9,294,675 ","$2,459,992 ",2.0,g,2015
200,203.0,CA,46.0,Rehab,Stabilized,8/21/12,2/4/13,9/3/13,2/1/15,"$8,415,146 ","$1,834,570 ",2.0,g,2013
201,204.0,NY,40.0,New Construction,Stabilized,10/25/04,11/30/06,7/1/08,5/31/11,"$10,176,625 ","$6,942,004 ",6.0,g,2008
202,205.0,NY,101.0,New Construction,Pre-stabilized,11/14/14,7/1/15,7/26/17,,"$57,145,732 ","$38,305,501 ",8.0,g,2017
203,206.0,CA,96.0,Rehab,Stabilized,7/19/12,12/21/12,10/31/13,4/1/15,"$8,415,297 ","$4,235,713 ",2.0,g,2013
204,207.0,CA,135.0,Rehab,Stabilized,7/25/12,12/12/12,12/13/13,10/1/14,"$24,562,509 ","$5,241,800 ",4.0,g,2013
205,208.0,CA,58.0,New Construction,Stabilized,7/29/05,5/1/07,7/15/07,5/1/08,"$25,531,271 ","$15,918,538 ",5.0,g,2007
206,209.0,CA,59.0,Rehab - TIP,Stabilized,8/19/16,3/17/17,12/29/17,3/1/19,"$13,071,807 ","$4,618,278 ",2.0,g,2017
207,210.0,CA,107.0,Rehab,Stabilized,8/21/12,2/4/13,10/31/13,2/1/15,"$23,150,735 ","$4,229,742 ",2.0,g,2013
208,211.0,TX,180.0,New Construction,Stabilized,4/28/08,10/1/08,1/12/10,3/31/11,"$15,516,964 ","$10,084,080 ",2.0,g,2010
209,212.0,TX,180.0,New Construction,Stabilized,6/4/08,10/1/08,3/9/10,5/1/11,"$15,509,336 ","$10,103,806 ",2.0,g,2010
210,213.0,TX,36.0,New Construction,Stabilized,1/23/12,6/29/12,10/18/13,7/1/16,"$7,225,648 ","$4,562,048 ",3.0,g,2013
211,214.0,TX,128.0,New Construction,Stabilized,8/23/13,5/23/14,5/20/15,7/1/16,"$16,057,851 ","$11,530,821 ",2.0,g,2015
212,215.0,CA,62.0,Rehab - TIP,Stabilized,11/3/17,12/20/17,11/2/18,11/1/18,"$12,841,909 ","$1,193,000 ",5.0,g,2018
213,216.0,TX,96.0,New Construction,Stabilized,10/9/14,4/10/15,2/24/17,10/1/17,"$14,623,473 ","$10,228,357 ",3.0,g,2017
